nodes_number,max_capacity,num_edges,source node,sink node,experiments,mean_time_fifo,std_time_fifo,max_flow_list_fifo,mean_time_sapa,std_time_sapa,max_flow_list_sapa
1000,100,4000,0,999,5,2.167979383468628,0.008767489198710699,"[153, 153, 153, 153, 153]",2.1335701942443848,0.016346179925159434,"[153, 153, 153, 153, 153]"
1000,150,4000,0,999,5,2.2192734718322753,0.021426662600524577,"[119, 119, 119, 119, 119]",2.1534146785736086,0.024522724055857963,"[119, 119, 119, 119, 119]"
1000,200,4000,0,999,5,0.011301136016845703,0.0008732605775127878,"[452, 452, 452, 452, 452]",0.068707275390625,0.004203694839622715,"[452, 452, 452, 452, 452]"
1000,250,4000,0,999,5,2.156977081298828,0.009692915320847626,"[414, 414, 414, 414, 414]",2.098434638977051,0.016189473598427276,"[414, 414, 414, 414, 414]"
1000,300,4000,0,999,5,2.123046398162842,0.012253223268101035,"[612, 612, 612, 612, 612]",2.1004996299743652,0.021012697999959428,"[612, 612, 612, 612, 612]"
1000,350,4000,0,999,5,2.158586025238037,0.01884506107573052,"[1419, 1419, 1419, 1419, 1419]",2.0619606971740723,0.015136721765532069,"[1419, 1419, 1419, 1419, 1419]"
1000,400,4000,0,999,5,0.015799474716186524,0.0017201629836133654,"[767, 767, 767, 767, 767]",0.07547111511230468,0.004267636568884855,"[767, 767, 767, 767, 767]"
1000,450,4000,0,999,5,2.120529890060425,0.009784672974809772,"[1272, 1272, 1272, 1272, 1272]",2.083606004714966,0.020673617779834473,"[1272, 1272, 1272, 1272, 1272]"
1000,500,4000,0,999,5,2.1770108699798585,0.026453522283048148,"[376, 376, 376, 376, 376]",2.111007022857666,0.013140142639448288,"[376, 376, 376, 376, 376]"
2000,100,8000,0,1999,5,9.36468276977539,0.07231675419357267,"[11, 11, 11, 11, 11]",9.033534812927247,0.07875021364264538,"[11, 11, 11, 11, 11]"
2000,150,8000,0,1999,5,0.0339015007019043,0.0018049248363606267,"[305, 305, 305, 305, 305]",0.25610833168029784,0.021162703439444798,"[305, 305, 305, 305, 305]"
2000,200,8000,0,1999,5,0.02900419235229492,0.0011408198374814448,"[293, 293, 293, 293, 293]",0.2423685073852539,0.003545247327872467,"[293, 293, 293, 293, 293]"
2000,250,8000,0,1999,5,0.02740335464477539,0.0025961490578918895,"[404, 404, 404, 404, 404]",0.24202651977539064,0.006612640848922091,"[404, 404, 404, 404, 404]"
2000,300,8000,0,1999,5,0.02740325927734375,0.0019329811589332997,"[537, 537, 537, 537, 537]",0.24986767768859863,0.007089821258870509,"[537, 537, 537, 537, 537]"
2000,350,8000,0,1999,5,0.027503776550292968,0.0013437713378196313,"[289, 289, 289, 289, 289]",0.23523249626159667,0.005556430269899175,"[289, 289, 289, 289, 289]"
2000,400,8000,0,1999,5,9.362841176986695,0.15605852308971954,"[1158, 1158, 1158, 1158, 1158]",9.337255954742432,0.12815220776224842,"[1158, 1158, 1158, 1158, 1158]"
2000,450,8000,0,1999,5,0.027402639389038086,0.0014618484957387536,"[466, 466, 466, 466, 466]",0.24192709922790528,0.007228237333619131,"[466, 466, 466, 466, 466]"
2000,500,8000,0,1999,5,0.02280435562133789,0.0016382073825260712,"[292, 292, 292, 292, 292]",0.23409838676452638,0.0063597889158695615,"[292, 292, 292, 292, 292]"
4000,100,16000,0,3999,5,0.07122349739074707,0.007237201802046059,"[147, 147, 147, 147, 147]",0.9613140106201172,0.02202588318023206,"[147, 147, 147, 147, 147]"
4000,150,16000,0,3999,5,40.330022525787356,1.5188531029815817,"[285, 285, 285, 285, 285]",46.83542284965515,4.846076678126553,"[285, 285, 285, 285, 285]"
4000,200,16000,0,3999,5,43.334354639053345,0.6773164077508669,"[243, 243, 243, 243, 243]",43.03322539329529,0.2916725134604831,"[243, 243, 243, 243, 243]"
4000,250,16000,0,3999,5,42.20304117202759,0.7904317749009444,"[305, 305, 305, 305, 305]",41.842081212997435,4.117022232012395,"[305, 305, 305, 305, 305]"
4000,300,16000,0,3999,5,39.39601583480835,0.4253364626683804,"[612, 612, 612, 612, 612]",40.61284503936768,0.6613517752933715,"[612, 612, 612, 612, 612]"
4000,350,16000,0,3999,5,0.07051434516906738,0.004629724494123728,"[868, 868, 868, 868, 868]",0.9493075370788574,0.048235388913873585,"[868, 868, 868, 868, 868]"
4000,400,16000,0,3999,5,40.98628096580505,0.3282125502938691,"[106, 106, 106, 106, 106]",40.92605009078979,0.4302107813785567,"[106, 106, 106, 106, 106]"
4000,450,16000,0,3999,5,41.065986442565915,0.26276057513607676,"[208, 208, 208, 208, 208]",40.39548668861389,0.59051881094808,"[208, 208, 208, 208, 208]"
4000,500,16000,0,3999,5,0.06921758651733398,0.005613759579018464,"[924, 924, 924, 924, 924]",1.0122020244598389,0.07711273469362775,"[924, 924, 924, 924, 924]"
8000,100,32000,0,7999,5,192.79729533195496,2.025391505419739,"[84, 84, 84, 84, 84]",215.6064727306366,3.010613202099114,"[84, 84, 84, 84, 84]"
8000,150,32000,0,7999,5,0.15140762329101562,0.007190252015384308,"[178, 178, 178, 178, 178]",3.485797119140625,0.14407469835213577,"[178, 178, 178, 178, 178]"
8000,200,32000,0,7999,5,0.15092124938964843,0.004012264007134485,"[149, 149, 149, 149, 149]",3.497789430618286,0.137436563189405,"[149, 149, 149, 149, 149]"
8000,250,32000,0,7999,5,196.94738144874572,0.8613592960283941,"[103, 103, 103, 103, 103]",212.89962816238403,2.012444960720372,"[103, 103, 103, 103, 103]"
8000,300,32000,0,7999,5,0.16923441886901855,0.008158859630051769,"[414, 414, 414, 414, 414]",3.5201165676116943,0.10778806053675488,"[414, 414, 414, 414, 414]"
8000,350,32000,0,7999,5,0.20432577133178711,0.0050443648755602215,"[654, 654, 654, 654, 654]",3.647748422622681,0.16483957754825224,"[654, 654, 654, 654, 654]"
8000,400,32000,0,7999,5,202.8607870578766,2.53530173183357,"[666, 666, 666, 666, 666]",222.0308913707733,3.767996957537019,"[666, 666, 666, 666, 666]"
8000,450,32000,0,7999,5,0.16528053283691407,0.004715332732422336,"[252, 252, 252, 252, 252]",3.5622716426849363,0.12848031682823624,"[252, 252, 252, 252, 252]"
8000,500,32000,0,7999,5,210.96463022232055,1.0818881983950084,"[1057, 1057, 1057, 1057, 1057]",225.14060349464415,2.695670187668833,"[1057, 1057, 1057, 1057, 1057]"
